date,longitude,latitude,sst_celsius,current_u_m_s,current_v_m_s,current_speed_m_s,current_direction_deg
2023-09-01,79.5,6.0,28.53,4.78,-0.04,4.780167361086848,90.47945139879657
2023-09-01,79.5,6.388888888888889,28.81,3.05,0.77,3.1456954715928873,75.83122990755416
2023-09-01,79.5,6.777777777777778,28.86,2.43,3.07,3.9153288495348635,38.362704760799794
2023-09-01,79.5,7.166666666666667,28.82,1.89,3.62,4.083687059508845,27.569036546884373
2023-09-01,79.5,7.555555555555555,28.84,0.29,5.39,5.397795846454365,3.079734830498647
2023-09-01,79.5,7.944444444444445,28.65,1.83,4.45,4.811590173736746,22.354226946326282
2023-09-01,79.5,8.333333333333334,28.41,2.58,4.07,4.818848410149463,32.37088146310614
2023-09-01,79.5,8.722222222222221,28.63,1.65,3.23,3.6270373585062505,27.05957706753917
2023-09-01,79.5,9.11111111111111,28.94,1.13,1.71,2.049634113689563,33.45747429956313
2023-09-01,79.5,9.5,29.25,0.24,1.39,1.4105672617780407,9.79620991747452
2023-09-01,79.77777777777777,6.0,28.53,2.72,1.74,3.22893171188243,57.39271347694604
2023-09-01,79.77777777777777,6.388888888888889,28.81,1.87,2.42,3.0583165303807256,37.69424046668917
2023-09-01,79.77777777777777,6.777777777777778,28.86,0.55,2.82,2.873134177166113,11.036166327684132
2023-09-01,79.77777777777777,7.166666666666667,28.82,,,,
2023-09-01,79.77777777777777,7.555555555555555,28.84,,,,
2023-09-01,79.77777777777777,7.944444444444445,28.65,,,,
2023-09-01,79.77777777777777,8.333333333333334,28.41,,,,
2023-09-01,79.77777777777777,8.722222222222221,28.63,-0.39,1.58,1.6274212730574713,346.13453331251935
2023-09-01,79.77777777777777,9.11111111111111,28.94,,,,
2023-09-01,79.77777777777777,9.5,29.25,-0.31,1.79,1.8166452598127132,350.17472295785154
2023-09-01,80.05555555555556,6.0,28.45,1.49,1.78,2.3213142829009605,39.93198187339484
2023-09-01,80.05555555555556,6.388888888888889,28.63,,,,
2023-09-01,80.05555555555556,6.777777777777778,28.81,,,,
2023-09-01,80.05555555555556,7.166666666666667,28.91,,,,
2023-09-01,80.05555555555556,7.555555555555555,28.98,,,,
2023-09-01,80.05555555555556,8.722222222222221,28.76,,,,
2023-09-01,80.05555555555556,9.11111111111111,29.01,,,,
2023-09-01,80.05555555555556,9.5,29.15,,,,
2023-09-01,80.33333333333333,6.0,28.51,,,,
2023-09-01,80.61111111111111,6.0,28.71,,,,
2023-09-01,80.61111111111111,9.5,,0.02,0.21,0.21095023109728983,5.440332031005506
2023-09-01,80.88888888888889,6.0,28.91,0.68,0.44,0.8099382692526635,57.094757077012105
2023-09-01,80.88888888888889,9.11111111111111,29.34,,,,
2023-09-01,80.88888888888889,9.5,29.47,0.84,1.84,2.022671500763285,24.53772847657779
2023-09-01,81.16666666666667,6.0,28.89,7.04,2.68,7.532861342146157,69.15908066043269
2023-09-01,81.16666666666667,8.722222222222221,29.32,0.3,0.3,0.4242640687119285,45.0
2023-09-01,81.16666666666667,9.11111111111111,29.47,1.62,-0.61,1.7310401497365682,110.63352425215824
2023-09-01,81.16666666666667,9.5,29.62,2.3,-1.61,2.8075077916187516,124.99202019855868
2023-09-01,81.44444444444444,6.0,28.93,11.24,4.73,12.19469146801181,67.1777411639197
2023-09-01,81.44444444444444,6.388888888888889,28.55,,,,
2023-09-01,81.44444444444444,7.944444444444445,29.29,,,,
2023-09-01,81.44444444444444,8.333333333333334,29.27,-0.23,-1.84,1.8543192821086665,187.1250163489018
2023-09-01,81.44444444444444,8.722222222222221,29.56,2.41,-1.18,2.6833747408813404,116.08759739976841
2023-09-01,81.44444444444444,9.11111111111111,29.71,2.04,-1.01,2.276334773270399,116.33992157138424
2023-09-01,81.44444444444444,9.5,29.76,2.18,-0.83,2.3326594264915745,110.84352790245167
2023-09-01,81.72222222222223,6.0,28.93,9.8,6.45,11.73211404649648,56.64855606983661
2023-09-01,81.72222222222223,6.388888888888889,28.55,3.57,4.27,5.565770386927581,39.89783474764182
2023-09-01,81.72222222222223,7.944444444444445,29.29,0.11,2.18,2.1827734651126764,2.888621549842957
2023-09-01,81.72222222222223,8.333333333333334,29.27,1.03,-1.55,1.8610212250267324,146.39532105389284
2023-09-01,81.72222222222223,8.722222222222221,29.56,2.3,-1.82,2.932984827782101,128.3547217897256
2023-09-01,81.72222222222223,9.11111111111111,29.71,1.97,-0.57,2.0508047201037938,106.13727656171785
2023-09-01,81.72222222222223,9.5,29.76,1.16,0.78,1.3978555004005242,56.08256946302965
2023-09-01,82.0,6.0,28.94,7.91,6.56,10.276268778112025,50.33006531156775
2023-09-01,82.0,6.388888888888889,28.52,10.08,11.2,15.068058932722556,41.987212495816664
2023-09-01,82.0,6.777777777777778,28.28,4.87,7.13,8.634454238688164,34.33422679074135
2023-09-01,82.0,7.166666666666667,28.46,1.4,3.08,3.38325287260648,24.443954780416533
2023-09-01,82.0,7.555555555555555,28.8,0.17,3.16,3.164569480987896,3.079399408500179
2023-09-01,82.0,7.944444444444445,29.39,1.35,0.41,1.41088624630053,73.10626982080188
2023-09-01,82.0,8.333333333333334,29.48,0.55,-1.87,1.9492049661336288,163.61045966596524
2023-09-01,82.0,8.722222222222221,29.66,1.91,-1.11,2.2091174708466728,120.16309123843934
2023-09-01,82.0,9.11111111111111,29.74,2.02,0.14,2.0248456731316584,86.03534527714389
2023-09-01,82.0,9.5,29.73,1.34,1.24,1.8257053431482313,47.219655553197896
2023-09-08,79.5,6.0,28.73,5.31,-0.99,5.401499791724516,100.56101069119639
